Fq (MHz),Relative Power,?,Radial Velocity (km/s)
1419.450391,0.037823,0.000486,77.754341
1419.451562,0.037862,0.000487,77.717171
1419.452734,0.037865,0.000486,77.906845
1419.453906,0.037739,0.000484,77.899834
1419.455078,0.03772,0.000484,77.988327
1419.45625,0.037813,0.000484,78.17585
1419.457422,0.037721,0.000485,77.840668
1419.458594,0.03762,0.000485,77.589294
1419.459766,0.037668,0.000485,77.71888
1419.460938,0.037732,0.000484,77.935524
1419.462109,0.037625,0.000483,77.905754
1419.463281,0.037506,0.000483,77.730469
1419.464453,0.037529,0.000482,77.903923
1419.465625,0.037536,0.000481,77.961983
1419.466797,0.037471,0.000481,77.924454
1419.467969,0.03752,0.000481,78.076538
1419.469141,0.037554,0.000481,78.044083
1419.470312,0.03744,0.000481,77.87574
1419.471484,0.037402,0.00048,77.949532
1419.472656,0.037575,0.00048,78.315651
1419.473828,0.038244,0.000488,78.3172
1419.475,0.038951,0.0005,77.920021
1419.476172,0.038066,0.000489,77.851768
1419.477344,0.037322,0.00048,77.711678
1419.478516,0.037164,0.000478,77.737221
1419.479687,0.037177,0.000477,77.962791
1419.480859,0.037146,0.000477,77.809242
1419.482031,0.03719,0.000478,77.774666
1419.483203,0.037263,0.000478,77.920631
1419.484375,0.037181,0.000479,77.690163
1419.485547,0.037083,0.000478,77.529427
1419.486719,0.037024,0.000478,77.5
1419.487891,0.036978,0.000477,77.523857
1419.489063,0.037034,0.000477,77.648911
1419.490234,0.037092,0.000477,77.731033
1419.491406,0.037052,0.000477,77.68084
1419.492578,0.037036,0.000477,77.623566
1419.49375,0.036965,0.000477,77.442558
1419.494922,0.036933,0.000477,77.444191
1419.496094,0.037038,0.000476,77.770775
1419.497266,0.037109,0.000475,78.102364
1419.498437,0.037098,0.000475,78.142578
1419.499609,0.036963,0.000475,77.846588
1419.500781,0.036838,0.000475,77.531197
1419.501953,0.036894,0.000474,77.811073
1419.503125,0.036914,0.000473,77.985115
1419.504297,0.036877,0.000474,77.82383
1419.505469,0.036854,0.000473,77.833824
1419.506641,0.036885,0.000473,78.00145
1419.507812,0.036841,0.000473,77.834091
1419.508984,0.036802,0.000473,77.825447
1419.510156,0.036807,0.000473,77.898094
1419.511328,0.036831,0.000473,77.93647
1419.5125,0.036876,0.000472,78.138168
1419.513672,0.036887,0.000471,78.283081
1419.514844,0.036879,0.000471,78.221046
1419.516016,0.03683,0.000472,78.023529
1419.517187,0.036713,0.000472,77.751595
1419.518359,0.036673,0.00047,78.036163
1419.519531,0.036656,0.000469,78.191711
1419.520703,0.036649,0.00047,77.904091
1419.521875,0.036674,0.000471,77.827202
1419.523047,0.036617,0.00047,77.873917
1419.524219,0.036538,0.00047,77.735046
1419.525391,0.0366,0.000471,77.782646
1419.526562,0.036624,0.000471,77.826912
1419.527734,0.036531,0.00047,77.713669
1419.528906,0.036501,0.000471,77.54615
1419.530078,0.036559,0.000471,77.681831
1419.53125,0.036544,0.000469,77.886246
1419.532422,0.036484,0.000469,77.780151
1419.533594,0.036484,0.00047,77.588387
1419.534766,0.036531,0.00047,77.681381
1419.535938,0.036535,0.000469,77.958168
1419.537109,0.036504,0.000468,78.072487
1419.538281,0.036458,0.000467,77.994453
1419.539453,0.036451,0.000467,78.098625
1419.540625,0.036493,0.000467,78.163788
1419.541797,0.036474,0.000468,77.988152
1419.542969,0.036335,0.000468,77.641174
1419.544141,0.036201,0.000469,77.268585
1419.545312,0.036254,0.00047,77.187584
1419.546484,0.036368,0.00047,77.449783
1419.547656,0.036375,0.000468,77.715652
1419.548828,0.036348,0.000466,77.958641
1419.55,0.036351,0.000467,77.920479
1419.551172,0.036286,0.000467,77.692444
1419.552344,0.03626,0.000467,77.615967
1419.553516,0.036291,0.000468,77.525963
1419.554688,0.036316,0.000468,77.632797
1419.555859,0.036336,0.000466,78.013313
1419.557031,0.036269,0.000465,77.999016
1419.558203,0.036244,0.000465,77.866608
1419.559375,0.0363,0.000467,77.798073
1419.560547,0.036337,0.000467,77.76886
1419.561719,0.036313,0.000468,77.606293
1419.562891,0.036334,0.000467,77.751366
1419.564062,0.036356,0.000466,78.03688
1419.565234,0.03641,0.000465,78.286285
